weight,material_id,rawmaterial_id
230.0,0,0
60.0,0,1
0.008,0,3
4.5,0,5
0.5,0,8
0.6,0,15
0.3,0,13
0.12,0,19
120.0,1,0
180.0,1,2
7.0,1,5
3.0,1,8
1.0,1,15
0.25,1,20
4.5,1,10
1.5,1,13
1.0,1,9
230.0,2,0
60.0,2,1
8.5,2,5
3.0,2,8
0.7,2,15
4.5,2,10
0.25,2,19
230.0,3,0
60.0,3,1
7.0,3,5
0.5,3,8
0.7,3,15
4.5,3,10
120.0,4,0
180.0,4,2
9.0,4,5
3.0,4,8
0.25,4,20
1.0,4,9
120.0,5,0
180.0,5,2
8.0,5,5
0.5,5,8
1.0,5,9
75.0,6,0
25.0,6,1
1.9,6,5
1.0,6,8
0.3,6,15
0.07,6,19
0.5,6,13
4.7,6,10
60.0,7,0
40.0,7,1
2.0,7,5
0.7,7,8
0.3,7,15
0.05,7,19
0.5,7,13
1.5,7,10
45.0,8,0
55.0,8,2
2.1,8,5
0.7,8,8
0.3,8,15
0.05,8,19
0.5,8,13
1.5,8,10
0.5,8,9
75.0,9,0
6.0,9,21
3.2,9,6
0.22,9,12
1.8,9,18
0.5,9,17
0.1,9,19
75.0,10,0
6.0,10,21
3.5,10,6
1.2,10,12
1.8,10,18
0.5,10,17
0.4,10,19
75.0,11,0
10.0,11,21
3.5,11,6
1.2,11,12
1.8,11,18
0.5,11,17
0.4,11,19
225.0,12,0
75.0,12,1
5.8,12,5
0.5,12,8
0.8,12,15
0.3,12,13
0.08,12,3
0.12,12,19
4.5,12,10
180.0,13,0
20.0,13,1
3.5,13,5
0.5,13,8
0.4,13,15
0.2,13,13
0.05,13,3
230.0,14,0
60.0,14,1
4.5,14,5
3.0,14,8
0.6,14,15
0.3,14,13
0.25,14,19
